word	time	filler
"a)	Northern"		5
Westcoast		8
Westcoast		0
IT		3
Unless		7
Enbridge		7
Within		0
Enbridge		0
Within		0
NGTL		0
EDF		0
The		5
The		5
The		7
EDF		5
Within		5
Unless		0
Unless		7
Manitoba		7
Manitoba		3
Unless		0
Within		7
NGTL		0
TNPI		6
TNPI		3
TNPI		3
TNPI		3
TNPI		3
TNPI		3
Westcoast		3
Unless		3
Westcoast		7
Within		0
Enbridge		0
Enbridge		0
This		3
Enbridge		7
Within		0
Within		0
Enbridge		0
Unless		0
2.		7
Within		3
3.		1
Within		1
Within		1
1.		1
Plains		1
Plains		1
Within		1
NGTL		1
NGTL		2
NGTL		3
Within		0
NGTL		0
NGTL		2
Unless		6
NGTL		7
Within		2
Enbridge		0
Unless		0
Enbridge		7
Within		3
Enbridge		0
"""In"		0
"""On"		2
NGTL		2
NGTL		4
NGTL		2
"""Unless"		3
NGTL		7
NGTL		6
NGTL		3
Unless		5
NGTL		7
Within		0
NGTL		0
Within		3
Unless		4
Within		7
At		0
Provident		5
Provident		3
Provident		0
Provident		5
Provident		3
Provident		2
Provident		3
Provident		5
The		0
Provident		5
Within		3
Provident		3
On		5
Prior		2
Any		5
Expiration		5
Provident		7
In		3
Provident		5
Within		2
Provident		0
Provident		2
Provident		4
For		4
Within		5
The		3
Provident		5
Provident		5
Provident		5
Provident		2
In		3
Within		2
In		3
		3
Enbridge		3
Within		1
Within		5
Within		1
Within		1
Enbridge		1
Within		1
Within		1
NGTL		0
NGTL		3
NGTL		0
Unless		0
PTC		7
PTC		0
PTC		0
Unless		0
PTC		7
Within		4
		0
M&NP		0
M&NP		3
M&NP		3
Unless		0
		7
		4
M&NP		3
Enbridge		0
Enbridge		1
Enbridge		1
In		1
NGTL		1
Unless		0
Within		7
NGTL		0
NGTL		2
NGTL		5
NGTL		3
In		5
NGTL		5
NGTL		5
At		5
NGTL		5
On		0
In		2
NGTL		2
NGTL		5
NGTL		2
NGTL		3
NGTL		0
NGTL		5
NGTL		2
NGTL		5
		2
NGTL		2
NGTL		2
NGTL		2
Within		3
		0
Unless		2
NGTL		7
NGTL		2
At		0
NGTL		5
At		2
NGTL		5
NGTL		0
NGTL		6
On		3
NGTL		2
Unless		3
Prior		7
On		5
Within		2
NGTL		0
Prior		5
NGTL		5
Unless		3
NGTL		7
Within		5
1057533		5
1057533		3
Within		5
1057533		0
On		0
1057533		2
1057533		0
Unless		6
1057533		7
1057533		4
Enbridge		0
Enbridge		0
